1    :  A-LiuCheNGJiN       , 积分： 897.52  (单日浮动：-16.73), 赛季kpm: 3.0, 游玩时长(小时): 48.6
124  :  BismarckBS          , 积分： 452.61  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 13.0
125  :  Jacky153515433      , 积分： 452.09  (单日浮动：  3.84), 赛季kpm: 1.2, 游玩时长(小时): 15.5
126  :  Moki-TSRQMA9        , 积分： 451.87  (单日浮动：  0.00), 赛季kpm: 2.6, 游玩时长(小时): 6.5
127  :  JiaTengHui_Honey    , 积分： 450.50  (单日浮动：  7.95), 赛季kpm: 1.8, 游玩时长(小时): 9.6
128  :  WAKANAQAQ           , 积分： 446.92  (单日浮动： -1.98), 赛季kpm: 0.9, 游玩时长(小时): 31.0
129  :  X-sssssssssssss     , 积分： 445.91  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 7.0
130  :  y010v0              , 积分： 445.77  (单日浮动：  0.00), 赛季kpm: 3.3, 游玩时长(小时): 5.6
131  :  -N1TFOUND           , 积分： 441.44  (单日浮动：  0.00), 赛季kpm: 3.0, 游玩时长(小时): 5.3
132  :  EtoDemerzel50       , 积分： 441.30  (单日浮动：  0.00), 赛季kpm: 3.3, 游玩时长(小时): 5.1
133  :  ffyyytt             , 积分： 441.13  (单日浮动： 27.30), 赛季kpm: 3.0, 游玩时长(小时): 5.1
134  :  sheybfmm            , 积分： 440.88  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 9.4
135  :  hjikdzz             , 积分： 440.73  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 8.4
136  :  M2uul               , 积分： 439.92  (单日浮动：  0.00), 赛季kpm: 3.1, 游玩时长(小时): 4.8
137  :  JIANGSIR606         , 积分： 438.44  (单日浮动： 17.29), 赛季kpm: 1.1, 游玩时长(小时): 74.3
138  :  dancemm3mm          , 积分： 435.72  (单日浮动： 35.92), 赛季kpm: 1.7, 游玩时长(小时): 11.7
139  :  X_xUnnn0            , 积分： 433.29  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 8.0
140  :  Burn1ngMaster       , 积分： 432.77  (单日浮动：  0.00), 赛季kpm: 2.7, 游玩时长(小时): 6.4
141  :  GawrGurasukiNA      , 积分： 429.93  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 12.9
142  :  HQG8                , 积分： 427.24  (单日浮动：  4.62), 赛季kpm: 1.8, 游玩时长(小时): 8.4
143  :  bfkaze              , 积分： 426.83  (单日浮动：  0.00), 赛季kpm: 2.6, 游玩时长(小时): 5.5
144  :  GonkaOvO            , 积分： 426.50  (单日浮动：  0.00), 赛季kpm: 2.5, 游玩时长(小时): 5.9
145  :  StayMeWithYou       , 积分： 426.50  (单日浮动：  0.00), 赛季kpm: 3.7, 游玩时长(小时): 4.4
146  :  daniqiu123          , 积分： 426.26  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 29.1
147  :  paofubutian         , 积分： 424.93  (单日浮动： -1.32), 赛季kpm: 1.3, 游玩时长(小时): 31.0
148  :  Przff               , 积分： 422.59  (单日浮动：  1.07), 赛季kpm: 1.1, 游玩时长(小时): 22.2
149  :  Zzdwillhelpyou      , 积分： 422.16  (单日浮动： 50.67), 赛季kpm: 1.4, 游玩时长(小时): 12.7
150  :  krypton-ddwa        , 积分： 422.12  (单日浮动： 37.63), 赛季kpm: 2.3, 游玩时长(小时): 5.7
151  :  Red_Tempe1ature     , 积分： 421.61  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 13.8
152  :  IlIlIlIIlbdhjahe    , 积分： 420.76  (单日浮动：  0.00), 赛季kpm: 3.0, 游玩时长(小时): 5.2
153  :  STSCM123            , 积分： 420.55  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 20.3
154  :  feelfeelfeel        , 积分： 419.77  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 5.4
155  :  NBNBdalaozhang      , 积分： 419.62  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 8.1
156  :  R0seAnneParking     , 积分： 419.52  (单日浮动： 50.92), 赛季kpm: 3.0, 游玩时长(小时): 5.2
157  :  JIUGU2              , 积分： 419.38  (单日浮动：  0.00), 赛季kpm: 2.5, 游玩时长(小时): 5.0
158  :  ChaffererDevil      , 积分： 419.35  (单日浮动：  0.00), 赛季kpm: 2.9, 游玩时长(小时): 5.0
159  :  _oStayWithMe_       , 积分： 418.11  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 11.5
160  :  GOBINS              , 积分： 417.51  (单日浮动：  0.75), 赛季kpm: 1.0, 游玩时长(小时): 19.1
161  :  wudihaifanshao      , 积分： 416.68  (单日浮动： -5.70), 赛季kpm: 1.3, 游玩时长(小时): 32.0
162  :  Vizir_Planet        , 积分： 415.39  (单日浮动：  9.43), 赛季kpm: 0.4, 游玩时长(小时): 57.0
163  :  Yee_CrayonTao       , 积分： 414.86  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 10.4
164  :  BrooklyNets71113    , 积分： 414.84  (单日浮动：  4.29), 赛季kpm: 0.6, 游玩时长(小时): 70.0
165  :  Terusberusaha       , 积分： 413.97  (单日浮动：  0.00), 赛季kpm: 0.9, 游玩时长(小时): 37.3
166  :  mandariorange       , 积分： 413.85  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 12.6
167  :  999ping_QwQ         , 积分： 413.25  (单日浮动：  0.00), 赛季kpm: 2.1, 游玩时长(小时): 7.1
168  :  StayYouWithMe       , 积分： 411.57  (单日浮动： 39.50), 赛季kpm: 2.6, 游玩时长(小时): 5.0
169  :  Krisofwin           , 积分： 411.28  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 12.7
170  :  LyuA_En             , 积分： 408.43  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 10.1
171  :  720FRZK383LOVE      , 积分： 407.89  (单日浮动： 14.17), 赛季kpm: 1.3, 游玩时长(小时): 16.6
172  :  xxjlovecyy          , 积分： 406.29  (单日浮动：  9.92), 赛季kpm: 0.8, 游玩时长(小时): 147.9
173  :  zmkm007             , 积分： 405.28  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 11.5
174  :  XIAOBAI15555        , 积分： 403.33  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 7.9
175  :  Chausai             , 积分： 402.80  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 17.3
176  :  chinakkxl           , 积分： 401.33  (单日浮动：  0.00), 赛季kpm: 1.5, 游玩时长(小时): 14.5
177  :  lzscdx              , 积分： 400.00  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 24.1
178  :  KeepChasingMEplz    , 积分： 399.10  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 9.3
179  :  Hyponasio_Es        , 积分： 398.92  (单日浮动：  0.00), 赛季kpm: 4.0, 游玩时长(小时): 3.6
180  :  SeXyP111g           , 积分： 398.67  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 5.0
181  :  TheKingofManYu      , 积分： 398.03  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 7.9
182  :  sunyuheng666        , 积分： 397.72  (单日浮动：  0.00), 赛季kpm: 1.6, 游玩时长(小时): 9.6
183  :  rensheng141515      , 积分： 396.44  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 18.4
184  :  IRN-Yukikaze        , 积分： 396.30  (单日浮动：  0.00), 赛季kpm: 1.3, 游玩时长(小时): 14.2
185  :  KIee1sBomb          , 积分： 396.11  (单日浮动：  0.00), 赛季kpm: 1.4, 游玩时长(小时): 11.4
186  :  DAHJILO2            , 积分： 395.21  (单日浮动：  0.00), 赛季kpm: 0.8, 游玩时长(小时): 27.1
187  :  xiujiangnan         , 积分： 394.97  (单日浮动：  0.26), 赛季kpm: 1.5, 游玩时长(小时): 21.8
188  :  Guys4EzMoney        , 积分： 394.90  (单日浮动：  0.00), 赛季kpm: 1.8, 游玩时长(小时): 8.3
189  :  -KatouMegumi-_o     , 积分： 394.20  (单日浮动： 30.19), 赛季kpm: 2.3, 游玩时长(小时): 6.2
190  :  LukaDoncic1414      , 积分： 394.06  (单日浮动：  0.00), 赛季kpm: 2.5, 游玩时长(小时): 4.7
191  :  EHDRBRLA9511        , 积分： 393.86  (单日浮动：  6.64), 赛季kpm: 0.9, 游玩时长(小时): 29.7
192  :  RETURN_0_seal       , 积分： 393.80  (单日浮动：  0.00), 赛季kpm: 1.7, 游玩时长(小时): 7.7
193  :  banana_van          , 积分： 393.14  (单日浮动：  0.00), 赛季kpm: 2.3, 游玩时长(小时): 8.1
194  :  bllOvOlld           , 积分： 392.43  (单日浮动：  0.00), 赛季kpm: 1.0, 游玩时长(小时): 51.2
195  :  -HastaSiempr1e      , 积分： 391.48  (单日浮动：  0.00), 赛季kpm: 2.0, 游玩时长(小时): 6.8
196  :  haoyee233           , 积分： 390.59  (单日浮动：  0.00), 赛季kpm: 0.5, 游玩时长(小时): 25.0
197  :  WWWWWWWWWWWDX       , 积分： 389.49  (单日浮动：  0.00), 赛季kpm: 2.5, 游玩时长(小时): 4.4
198  :  whiteYD1299         , 积分： 389.45  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 6.2
199  :  CV_Enterprise_6     , 积分： 388.84  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 9.9
200  :  p12312342           , 积分： 385.76  (单日浮动： 35.17), 赛季kpm: 0.8, 游玩时长(小时): 8.2
201  :  CupChang            , 积分： 385.10  (单日浮动：  0.00), 赛季kpm: 3.5, 游玩时长(小时): 3.5
202  :  Yur1kst             , 积分： 383.92  (单日浮动：  0.00), 赛季kpm: 1.2, 游玩时长(小时): 11.7
203  :  SaiAsuna            , 积分： 383.68  (单日浮动： 25.25), 赛季kpm: 1.5, 游玩时长(小时): 17.2
204  :  BiliTV_823662       , 积分： 383.41  (单日浮动： 33.27), 赛季kpm: 2.2, 游玩时长(小时): 5.4
205  :  duananlin1          , 积分： 383.37  (单日浮动：  5.05), 赛季kpm: 0.8, 游玩时长(小时): 57.1
206  :  Somber114514        , 积分： 382.07  (单日浮动：  3.31), 赛季kpm: 1.2, 游玩时长(小时): 33.0
207  :  -Ken1VeDyFPS-_1     , 积分： 381.67  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 8.1
